AIRLINE_ID,CARRIER,CARRIER_ENTITY,CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_ENTITY,UNIQUE_CARRIER_NAME,WAC,CARRIER_GROUP,CARRIER_GROUP_NEW,REGION,START_DATE_SOURCE,THRU_DATE_SOURCE
21262,QR,71049,Qatar Airways (Q.C.S.C),QR,71049,Qatar Airways (Q.C.S.C),664,0,0,International,6/1/07,
21266,Y8,71050,Yangtze River Express Airlines Company,Y8,71050,Yangtze River Express Airlines Company,713,0,0,International,6/1/06,
21271,HU,71051,Hainan Airlines Company Limited,HU,71051,Hainan Airlines Company Limited,713,0,0,International,6/1/08,
21281,JAG,71053,JetAlliance Flugbetriebs d/b/a JAF Airservice,JAG,71053,JetAlliance Flugbetriebs d/b/a JAF Airservice,403,0,0,International,4/1/08,
21287,0OQ,71056,Open Skies,0OQ,71056,Open Skies,493,0,0,International,6/1/08,4/30/09
21294,TRA,71059,Aeromexico Travel,TRA,71059,Aeromexico Travel,148,0,0,International,7/1/08,
21302,7Q,71060,Pan American World Airways Dominicana,7Q,71060,Pan American World Airways Dominicana,224,0,0,International,6/1/08,5/31/10
21306,FP,71052,TAG Aviation S.A.,FP,71052,TAG Aviation S.A.,486,0,0,International,1/1/08,
21308,0QQ,71062,TAG Aviation (UK) Ltd.,0QQ,71062,TAG Aviation (UK) Ltd.,493,0,0,International,10/1/06,
21309,0RQ,71063,TAG Aviation Espana S.L.,0RQ,71063,TAG Aviation Espana S.L.,482,0,0,International,1/1/06,
21312,WV,1148,"Air Greco, Inc., d/b/a Wings Air",WV,1148,"Air Greco, Inc., d/b/a Wings Air",10,1,6,Domestic,7/1/08,6/30/09
21317,0TQ,71065,"Corporatejets, XXI",0TQ,71065,"Corporatejets, XXI",482,0,0,International,10/1/08,12/1/13
21323,5L,71067,Aerosur,5L,71067,Aerosur,312,0,0,International,4/1/08,
21326,IJ,71068,Great Wall Airlines Company Limited,IJ,71068,Great Wall Airlines Company Limited,713,0,0,International,6/1/08,5/31/11
21331,0UQ,71069,"Comlux Malta, Ltd.",0UQ,71069,"Comlux Malta, Ltd.",456,0,0,International,1/1/09,
