 total_passengers 
------------------
          2772143
(1 row)

         city_name         | state_name | airport_code |                      airline_name                       | passengers 
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        651
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        549
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        553
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        677
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        276
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        256
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        693
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        561
 Denver, CO                | Colorado   | DEN          | Sun Country Airlines d/b/a MN Airlines                  |        505
 Denver, CO                | Colorado   | DEN          | Trans States Airlines                                   |        185
 Montrose/Delta, CO        | Colorado   | MTJ          | Envoy Air                                               |        146
 Denver, CO                | Colorado   | DEN          | United Parcel Service                                   |          0
 Denver, CO                | Colorado   | DEN          | United Parcel Service                                   |          0
 Denver, CO                | Colorado   | DEN          | United Parcel Service                                   |          0
 Denver, CO                | Colorado   | DEN          | GoJet Airlines LLC d/b/a United Express                 |        281
 Denver, CO                | Colorado   | DEN          | GoJet Airlines LLC d/b/a United Express                 |        308
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        359
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        180
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        365
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        280
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        314
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        364
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        228
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        299
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        192
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        142
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        197
 Durango, CO               | Colorado   | DRO          | SkyWest Airlines Inc.                                   |        230
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        581
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        461
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        813
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        500
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |       1483
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        528
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        632
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        602
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        694
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        592
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        490
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        633
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        665
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        697
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        877
 Denver, CO                | Colorado   | DEN          | Trans States Airlines                                   |        209
 Denver, CO                | Colorado   | DEN          | Great Lakes Airlines                                    |         13
 Denver, CO                | Colorado   | DEN          | GoJet Airlines LLC d/b/a United Express                 |        387
 Montrose/Delta, CO        | Colorado   | MTJ          | GoJet Airlines LLC d/b/a United Express                 |        349
 Colorado Springs, CO      | Colorado   | COS          | SkyWest Airlines Inc.                                   |        363
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        412
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        272
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        190
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        850
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        727
