year,month,class,passengers ,freight ,mail,ramp_to_ramp,air_time,origin_airport_id,destination_airport_id,flight_id,unique_carrier_entity,departures_scheduled,departures_performed
2017,6,F,38,0,0,134,99,14570,11292,219,0A875,1,1
2017,6,F,128,117,395,124,107,14683,11292,220,0A875,1,1
2017,6,F,109,0,0,141,119,14689,11292,221,0A875,1,1
2017,6,F,129,508,430,149,122,14771,11292,222,0A875,1,1
2017,6,F,385,8694,0,272,215,14771,11292,223,0A875,1,2
2017,6,F,159,0,679,132,114,14908,11292,224,0A875,1,1
2017,6,F,157,0,649,134,109,15016,11292,225,0A875,1,1
2017,6,F,125,24,260,148,111,15016,11292,226,0A875,1,1
2017,6,F,123,23,0,99,86,15370,11292,227,0A875,1,1
2017,6,F,107,85,0,292,248,10994,11292,228,6725,1,1
2017,6,F,139,1026,0,176,164,11042,11292,229,6725,1,1
2017,6,F,128,0,0,65,51,11292,10140,230,6725,1,1
2017,6,F,121,944,0,110,97,11292,10713,231,6725,1,1
2017,6,F,140,110,0,155,137,11292,11433,232,6725,1,1
2017,6,F,128,96,0,145,128,11292,11986,233,6725,1,1
2017,6,F,136,0,0,119,104,11292,13342,234,6725,1,1
2017,6,F,133,0,0,153,138,11292,14057,235,6725,1,1
2017,6,F,138,377,0,201,180,11292,14100,236,6725,1,1
2017,6,F,139,760,0,149,118,11292,14570,237,6725,1,1
2017,6,F,163,0,0,218,200,11292,14635,238,6725,1,1
2017,6,F,141,26,0,89,73,11292,15370,239,6725,1,1
2017,6,F,123,160,0,172,153,11433,11292,240,6725,1,1
2017,6,F,84,0,0,153,137,11986,11292,241,6725,1,1
2017,6,F,175,345,0,153,137,13495,11292,242,6725,1,1
2017,6,F,143,569,0,205,189,14122,11292,243,6725,1,1
2017,6,F,140,0,0,121,102,14570,11292,244,6725,1,1
2017,6,F,171,0,0,228,212,14635,11292,245,6725,1,1
2017,6,F,140,6,0,133,118,14893,11292,246,6725,1,1
2017,6,F,61,0,0,182,159,10397,11292,247,6003,1,1
2017,6,F,73,0,0,43,17,11109,11292,248,6003,1,1
2017,6,F,70,0,0,164,139,11292,11042,249,6003,1,1
2017,6,F,65,0,0,50,21,11292,11109,250,6003,1,1
2017,6,F,60,0,0,98,74,11292,11423,251,6003,1,1
2017,6,F,33,0,0,98,64,11292,12278,252,6003,1,1
2017,6,F,65,0,0,89,64,11292,13871,253,6003,1,1
2017,6,F,69,0,0,89,66,11292,14869,254,6003,1,1
2017,6,F,52,0,0,90,68,12278,11292,255,6003,1,1
2017,6,F,67,0,0,177,153,14730,11292,256,6003,1,1
2017,6,F,52,0,0,100,80,15370,11292,257,6003,1,1
2017,6,F,134,0,0,162,143,11193,11292,258,6460,1,1
2017,6,F,143,0,0,161,142,11292,11066,259,6460,1,1
2017,6,F,64,0,0,153,133,11292,11433,260,6460,1,1
2017,6,F,178,0,0,183,109,11292,12266,261,6460,1,1
2017,6,F,113,0,0,153,135,11292,12339,262,6460,1,1
2017,6,F,180,0,0,213,189,11292,13204,263,6460,1,1
2017,6,F,126,0,0,228,183,11292,13204,264,6460,1,1
2017,6,F,136,0,0,119,95,11292,13486,265,6460,1,1
2017,6,F,180,0,0,134,111,11292,13930,266,6460,1,1
2017,6,F,110,0,0,131,113,11292,13930,267,6460,1,1
2017,6,F,145,0,0,113,83,11292,14107,268,6460,1,1
2017,6,F,151,0,0,115,93,11292,15016,269,6460,1,1
2017,6,F,136,0,0,139,123,11292,15412,270,6460,1,1
2017,6,F,142,0,0,193,154,11433,11292,271,6460,1,1
2017,6,F,132,0,0,220,194,12264,11292,272,6460,1,1
2017,6,F,171,0,0,152,125,12266,11292,273,6460,1,1
2017,6,F,150,0,0,163,145,12339,11292,274,6460,1,1
2017,6,F,169,0,0,214,192,13204,11292,275,6460,1,1
2017,6,F,102,0,0,112,84,13486,11292,276,6460,1,1
2017,6,F,180,0,0,179,134,13930,11292,277,6460,1,1
2017,6,F,142,0,0,112,88,14107,11292,278,6460,1,1
2017,6,F,152,0,0,152,121,15016,11292,279,6460,1,1
2017,6,F,4,0,0,210,188,15304,11292,280,6460,1,1
2017,6,F,140,0,0,172,159,15412,11292,281,6460,1,1
2017,6,G,0,16753,0,191,159,11292,11298,282,6200,1,1
2017,6,G,0,14986,0,136,115,11292,12339,283,6200,1,1
2017,6,G,0,50142,0,216,181,11292,13198,284,6200,1,1
2017,6,G,0,23383,0,176,151,11292,13495,285,6200,1,1
2017,6,G,0,47075,0,95,72,11292,14869,286,6200,1,1
2017,6,G,0,42470,0,108,90,11292,15376,287,6200,1,1
2017,6,G,0,42190,0,60,42,11921,14869,288,6200,1,1
2017,6,G,0,13780,0,147,129,12339,11292,289,6200,1,1
2017,6,G,0,114987,0,101,82,13198,11292,290,6200,1,1
2017,6,G,0,42190,0,221,198,13244,11921,291,6200,1,1
2017,6,G,0,30465,0,133,115,13796,11292,292,6200,1,1
2017,6,F,144,0,0,153,133,11292,11433,293,6830,1,1
2017,6,F,127,0,0,159,142,12266,11292,294,6830,1,1
2017,6,F,66,0,0,128,99,13502,12891,295,6689,1,1
2017,6,F,45,0,0,72,53,11292,11413,296,6904,1,1
2017,6,F,47,0,0,62,45,11413,11292,297,6904,1,1
2017,6,F,43,0,0,157,141,11986,11292,298,6904,1,1
2017,6,F,44,0,0,113,97,11298,13502,299,6820,1,1
2017,6,F,48,1,0,164,120,13502,11298,300,6820,1,1
2017,6,F,88,0,0,535,436,11292,14877,301,6932,1,6
2017,6,F,94,0,0,617,526,14877,11292,302,6932,1,6
2017,6,F,47,0,0,144,124,11109,15016,303,6085,1,1
2017,6,F,47,0,0,50,23,11292,11109,304,6085,1,1
2017,6,F,47,0,0,170,136,12266,11292,305,6085,1,1
2017,6,F,49,0,0,149,127,12266,12012,306,6085,1,1
2017,6,G,0,18239,5737,164,138,11292,10559,307,6910,1,1
2017,6,G,0,32891,3787,104,86,11292,12889,308,6910,1,1
2017,6,G,0,25727,0,148,123,11292,14730,309,6910,1,1
2017,6,G,0,14991,218,87,60,14869,11292,310,6910,1,1
2017,6,G,0,66035,0,94,57,14869,11292,311,6910,1,1
2017,6,F,267,0,0,343,309,11292,14057,312,0A050,2,2
2017,6,F,322,428,0,329,274,12892,11292,313,0A050,2,2
2017,6,F,267,0,0,536,422,14100,11292,314,0A050,2,2
2017,6,F,251,188,0,211,179,11292,13487,315,1260,2,2
2017,6,F,356,70,0,204,174,11292,13487,316,1260,2,2
2017,6,F,287,0,194,144,108,14869,11292,317,1260,2,2
2017,6,F,133,0,0,286,241,11292,11986,318,7041,2,2
2017,6,F,122,0,0,206,176,11423,11292,319,7041,2,2
2017,6,F,125,0,0,84,38,11109,11292,320,6700,2,2
2017,6,F,124,0,0,78,36,11292,11109,321,6700,2,2
2017,6,F,87,0,0,134,83,11292,11921,322,6700,2,2
2017,6,F,91,0,0,236,191,11292,12003,323,6700,2,2
2017,6,F,146,0,0,328,287,11292,14057,324,6700,2,2
2017,6,F,138,0,0,282,227,11292,14683,325,6700,2,2
2017,6,F,0,0,0,169,129,11638,11109,326,6700,2,1
2017,6,F,73,0,0,112,73,11921,10372,327,6700,2,2
2017,6,F,64,0,0,130,76,11921,11292,328,6700,2,2
2017,6,F,0,0,0,242,196,11921,11298,329,6700,2,2
2017,6,F,65,0,0,204,161,12003,11292,330,6700,2,2
2017,6,F,96,0,0,440,394,13930,11921,331,6700,2,2
2017,6,F,145,0,0,308,243,14679,11292,332,6700,2,2
2017,6,F,108,0,0,223,178,15919,11292,333,6700,2,2
2017,6,F,223,375,2511,416,310,10397,11292,334,0A875,2,2
2017,6,F,112,106,0,326,294,11193,11292,335,0A875,2,2
2017,6,F,314,0,0,471,413,11278,11292,336,0A875,2,2
2017,6,F,275,1391,2529,338,296,11292,10397,337,0A875,2,2
2017,6,F,244,0,2664,491,440,11292,10721,338,0A875,2,2
2017,6,F,322,0,0,371,334,11292,11278,339,0A875,2,2
2017,6,F,269,46,0,271,230,11292,11884,340,0A875,2,2
2017,6,F,180,0,0,139,107,11292,12278,341,0A875,2,2
2017,6,F,318,33,1852,368,328,11292,14492,342,0A875,2,2
2017,6,F,205,0,0,276,241,11292,14689,343,0A875,2,2
2017,6,F,243,104,3055,426,385,11292,15304,344,0A875,2,2
2017,6,F,250,114,0,217,182,11292,15376,345,0A875,2,2
2017,6,F,273,0,0,271,236,11603,11292,346,0A875,2,2
2017,6,F,211,19,957,536,450,11618,11292,347,0A875,2,2
2017,6,F,255,62,0,238,205,11884,11292,348,0A875,2,2
2017,6,F,220,4,0,322,286,11986,11292,349,0A875,2,2
2017,6,F,149,20,0,177,136,12278,11292,350,0A875,2,2
2017,6,F,166,0,698,214,175,12889,11292,351,0A875,2,2
2017,6,F,243,1,1532,422,381,15304,11292,352,0A875,2,2
2017,6,F,228,7,0,208,172,15376,11292,353,0A875,2,2
2017,6,F,217,0,0,214,166,10713,11292,354,6725,2,2
2017,6,F,49,173,0,135,101,11292,10140,355,6725,2,2
2017,6,F,165,190,0,401,363,11292,10821,356,6725,2,2
2017,6,F,274,59,0,392,345,11292,10994,357,6725,2,2
2017,6,F,254,1128,0,321,283,11292,11066,358,6725,2,2
2017,6,F,265,431,0,267,237,11292,11884,359,6725,2,2
2017,6,F,253,208,0,305,270,11292,14730,360,6725,2,2
2017,6,F,204,565,0,150,124,11292,14869,361,6725,2,2
2017,6,F,281,0,0,239,207,11884,11292,362,6725,2,2
2017,6,F,274,1579,0,294,245,14057,11292,363,6725,2,2
2017,6,F,275,13,0,278,239,14679,11292,364,6725,2,2
2017,6,F,256,43,0,323,260,14747,11292,365,6725,2,2
2017,6,F,236,210,0,294,252,14831,11292,366,6725,2,2
2017,6,F,104,0,0,382,334,11066,11292,367,6003,2,2
2017,6,F,112,0,0,291,251,11292,10599,368,6003,2,2
2017,6,F,137,0,0,331,270,11292,11066,369,6003,2,2
2017,6,F,132,0,0,247,188,11292,13487,370,6003,2,2
2017,6,F,127,0,0,174,139,11292,15370,371,6003,2,2
2017,6,F,137,0,0,196,149,13851,11292,372,6003,2,2
2017,6,F,274,0,0,254,210,11292,13485,373,6460,2,2
2017,6,F,295,0,0,226,177,11292,13487,374,6460,2,2
2017,6,F,290,0,0,345,311,11292,14492,375,6460,2,2
2017,6,F,299,0,0,238,198,11292,14683,376,6460,2,2
2017,6,F,242,0,0,301,258,13485,11292,377,6460,2,2
2017,6,F,289,0,0,482,416,14492,11292,378,6460,2,2
2017,6,F,299,0,0,257,215,14683,11292,379,6460,2,2
2017,6,G,0,39954,0,159,118,11292,10620,380,6200,2,2
2017,6,G,0,67964,0,248,195,11292,11540,381,6200,2,2
2017,6,F,143,0,0,361,326,11193,11292,382,7024,2,2
2017,6,F,139,0,0,288,248,11292,11193,383,7024,2,2
2017,6,G,0,33216,0,166,114,11292,14869,384,6910,2,2
2017,6,F,396,2100,0,391,307,11298,11292,385,0A050,3,3
2017,6,F,177,0,0,268,206,10849,11292,386,7041,3,3
2017,6,F,199,0,0,309,239,11292,10849,387,7041,3,3
2017,6,F,199,0,0,342,277,11292,13487,388,7041,3,3
2017,6,F,191,0,0,456,362,11292,14730,389,7041,3,3
2017,6,F,166,0,0,419,353,13367,11292,390,7041,3,3
2017,6,F,199,0,0,517,449,14730,11292,391,7041,3,3
2017,6,F,166,0,0,218,167,10140,11292,392,6700,3,3
2017,6,F,143,0,0,215,168,10279,11292,393,6700,3,3
2017,6,F,136,0,0,325,211,10849,11292,394,6700,3,3
2017,6,F,119,0,0,219,160,11292,10279,395,6700,3,3
2017,6,F,193,0,0,301,239,11292,10849,396,6700,3,3
2017,6,F,211,0,0,508,424,11292,11193,397,6700,3,3
2017,6,F,192,0,0,444,381,11292,11267,398,6700,3,3
2017,6,F,203,0,0,406,350,11292,11986,399,6700,3,3
2017,6,F,115,0,0,234,188,11292,12896,400,6700,3,3
2017,6,F,135,0,0,168,102,11292,13502,401,6700,3,3
2017,6,F,141,0,0,442,357,11292,13891,402,6700,3,3
2017,6,F,192,0,0,350,265,11292,14107,403,6700,3,3
2017,6,F,131,0,0,406,334,11292,14262,404,6700,3,3
2017,6,F,131,0,0,452,368,11292,14489,405,6700,3,3
2017,6,F,201,0,0,396,312,11292,14683,406,6700,3,3
2017,6,F,206,0,0,294,230,11292,15370,407,6700,3,3
2017,6,F,147,0,0,360,298,11423,11292,408,6700,3,3
2017,6,F,89,0,0,447,388,12892,11921,409,6700,3,3
2017,6,F,90,0,0,263,211,12896,11292,410,6700,3,3
2017,6,F,140,0,0,195,113,13502,11292,411,6700,3,3
2017,6,F,147,0,0,403,335,13891,11292,412,6700,3,3
2017,6,F,204,0,0,329,243,14107,11292,413,6700,3,3
2017,6,F,107,0,0,191,146,14457,11292,414,6700,3,3
